sku,prod,brand,rev90,n_ten,n_ord,fonte,erp_stock,supplier_stock,pos,costo,prezzo,comp_min,n_comp,floor_price,target_price,ricarico_target_pct,verdetto,cut_needed
930285008,ONLIGOL MACROGOL 4000 400G,OG1,1572.71,9,66,grossista,0,654,,12.23,14.31,15.29,76,13.94,15.28,24.9,STANDALONE,0
923139505,LIPOSCUDIL PLUS 30CPS,0S5,1558.84,8,52,MAGAZZINO,1,2973,,15.32,17.93,18.36,64,17.47,18.35,19.8,STANDALONE,0
017076074,VENORUTON*OS 30BUST 1000MG,VEN,1551.25,8,71,MAGAZZINO,2,609,,14.38,17.54,,,16.39,,,NO_SCRAPER_48h,0
983702313,ZALTON DOL 15CPS,ZAL,1549.86,6,29,grossista,0,305,,24.93,28.91,31.36,39,28.42,31.35,25.8,STANDALONE,0
024964140,NIZORAL*SHAMPOO FL 100G 20MG/G,NIZ,1544.50,7,60,MAGAZZINO,2,706,,14.66,17.89,14.39,58,16.72,14.38,-1.9,NON_POSIZIONABILE,0
935662611,SUPRADYN RICARICA 60CPR,SPY,1544.33,6,59,MAGAZZINO,2,715,,14.89,18.32,16.87,55,16.98,16.86,13.2,NON_POSIZIONABILE,0
990377400,FORTEND MAX 20BUST,"",1525.66,5,27,grossista,0,170,,23.54,0.00,30.16,28,26.84,30.15,28.1,REINSERISCI_prezzo_fb,0
980534515,MAVOSTEN FORTE 60CPR,5MO,1512.23,5,26,MAGAZZINO,1,478,,48.93,57.25,50.44,45,54.80,50.43,3.1,NON_POSIZIONABILE,0
949922227,GLICOPER 30CPS,HLU,1508.86,6,35,grossista,0,1171,,18.03,20.91,19.56,44,20.55,19.55,8.4,NON_POSIZIONABILE,0
941657645,SIDERAL FOLICO 30MG 20BUST,0Y4,1496.85,9,53,MAGAZZINO,3,1904,,17.85,21.69,21.14,76,20.35,21.13,18.4,VIA_PC,0.56
951135781,MAGNESIO BISGLICINATO 180PAST,GIO,1495.82,8,35,grossista,0,124,,29.19,0.00,37.02,27,33.28,37.01,26.8,REINSERISCI_prezzo_fb,0
987762352,REDEMASE 500 30CPS,"",1493.10,3,28,MAGAZZINO,1,370,,18.73,22.76,20.58,31,21.36,20.57,9.8,NON_POSIZIONABILE,0
985823741,FERRO IBSA 20FILM ORODISPERSIB,0BS,1491.45,9,55,MAGAZZINO,6,1214,,15.37,17.98,16.06,61,17.52,16.05,4.4,NON_POSIZIONABILE,0
931771289,TIOBEC 800 20CPR FAST-SLOW,0W1,1491.44,6,32,grossista,0,1015,,22.46,26.06,24.60,60,25.60,24.59,9.5,NON_POSIZIONABILE,0
938872191,FORPROST 400 FLOGO 15CPS MOLLI,FRR,1491.23,7,33,MAGAZZINO,1,4035,,17.63,20.63,19.56,48,20.10,19.55,10.9,NON_POSIZIONABILE,0
982941662,ESENTA RIMUOVI ADES SPRAY 50ML,CNC,1485.87,4,43,grossista,0,228,7,8.58,10.24,11.41,37,10.12,11.40,32.9,STANDALONE,0
930204843,NORMOCIS 400 30CPR,PH7,1452.50,9,53,grossista,0,2804,,16.48,19.28,18.29,50,18.79,18.28,10.9,NON_POSIZIONABILE,0
989690716,NEOBIANACID 70CPR LIMONE,NE1,1440.71,8,61,grossista,0,463,,15.43,0.00,17.85,48,17.59,17.84,15.6,REINSERISCI_prezzo_fb,0
942859149,HEPATIKRILL CANI E GATTI 30PRL,NBF,1436.25,5,31,grossista,0,120,,22.30,25.87,29.19,49,25.42,29.18,30.9,STANDALONE,0
930062245,PROJOINT COMPLEX 60TAV,SLG,1426.58,4,28,MAGAZZINO,1,356,,40.46,49.16,41.27,51,45.31,41.26,2.0,NON_POSIZIONABILE,0
970150898,NORMAST 600MG 60CPR,0U9,1425.77,8,34,grossista,0,5154,,37.98,43.86,40.27,56,42.54,40.26,6.0,NON_POSIZIONABILE,0
945030171,JOHYA OS 15FL,MC4,1418.81,6,27,grossista,0,286,7,17.50,21.25,23.28,41,19.95,23.27,33.0,STANDALONE,0
989362595,CONDROGEN PUPPY 90CPR,1N2,1418.17,6,31,grossista,0,117,5,42.63,49.32,50.00,28,47.75,49.99,17.3,STANDALONE,0
904234325,COLONIR 15CPR,OHP,1403.03,4,38,MAGAZZINO,1,190,,15.19,18.46,17.29,47,17.32,17.28,13.8,NON_POSIZIONABILE,0
952049359,ARTERION K2ME 30CPS,HN0,1393.36,4,26,grossista,0,162,,20.15,0.00,23.54,20,22.97,23.53,16.8,REINSERISCI_prezzo_fb,0
