Pager usage is off.
Output format is csv.
sku,prod,stk,ss,val,pos,clk,cost30,vende_rete,prot_stock,categoria
944778101,ROUGJ SOLARE SPF15 100ML,5,0,6.86,1,6,1.67,t,f,HELD_rete_pos
900466703,DERCOS SHAMPOO ENERG 200ML,36,758,8.34,6,6,1.67,f,f,HELD_basket
985513023,SEBIACLEAR GEL MOUSSANT 400ML,0,348,11.62,8,6,1.67,t,f,HELD_rete_pos
951318979,LFP SOL STICK INVIS 50+ 10ML,19,0,9.19,1,6,1.67,f,t,HELD_basket
901510836,"PHYTOSOYA 17,5MG 60CPS",0,26,14.02,4,6,1.67,f,f,GROSSISTA_netto
976334185,MULTICENTRUM DONNA 60CPR,7,305,17.98,5,6,1.67,f,f,HELD_basket
902305453,PIC SPORT TAPPO AURIC SIL BB2P,6,47,4.24,3,6,1.67,f,t,MAGAZZINO_netto
920368723,ONETOUCH VERIO GLICEMIA 25STR,0,1772,11.29,7,6,1.67,t,f,HELD_rete_pos
946503341,MYCLI C RECHARGE CONT OCCHI,3,0,30.00,3,6,1.67,f,f,HELD_basket
023227061,"EMORRIL*CREMA 40G 1%+1,5%",21,325,3.98,5,6,1.67,t,t,HELD_basket
981110416,CURASEPT GOLD LUXURY WHITE75ML,5,131,8.98,3,6,1.67,f,f,MAGAZZINO_netto
971676679,FLEBINEC PLUS 14BUST,80,521,13.49,8,6,1.67,t,f,HELD_basket
943065995,DREAGIN PLUS OVULI VAGINALI10P,0,124,16.46,3,5,1.39,f,f,GROSSISTA_netto
932246426,BIATAIN ALGINATE AG 10X10 10PZ,0,30,78.86,2,5,1.39,f,f,GROSSISTA_netto
986981999,SEBIACLEAR HYDRA 40ML,0,532,13.35,7,5,1.39,f,f,HELD_basket
021528157,"TAMARINE*MARMEL260G 80+3,9MG/G",3,409,15.60,7,5,1.39,t,f,HELD_basket
981920919,SOLLIEVO FISIOLAX 27CPR,0,1122,8.59,12,5,1.39,t,f,HELD_basket
987400886,ANTHELIOS POST UV EXPOSUR400ML,9,235,14.70,3,5,1.39,t,f,HELD_basket
035760089,NEOBORO GOLADO*SPRAY LIM&MIELE,36,177,4.11,1,5,1.39,t,t,HELD_basket
981391410,AURIDROL GOCCE OTOLOGICHE 15ML,0,33,7.00,2,5,1.39,f,f,GROSSISTA_netto
980136523,TENA SILHOUETTE NOIR L V/A 8PZ,4,0,9.03,1,5,1.39,f,f,MAGAZZINO_netto
980504068,VIS SPRAY CORPO 75ML,0,20,17.71,5,5,1.39,t,f,HELD_rete_pos
980247504,"TISANOREICA BEVANDA CAPPUCCINO 4 BUSTE DA 28,5 G",3,5,13.07,1,5,1.39,f,f,HELD_basket
974652772,ETILE CLORURO SPRAY 175ML,0,100,9.69,1,5,1.39,t,f,HELD_rete_pos
988339178,NANCARE KIDS IMMUNITY 60GUMM,4,35,7.41,1,5,1.39,f,f,HELD_basket
979806635,ASHWAGANDHA ESTRATTO INTEGRALE,0,84,15.86,7,5,1.39,t,f,HELD_rete_pos
945251573,PRINCIPIUM TENSIOLEN 30CPR,0,436,15.42,6,5,1.39,t,f,HELD_basket
985712571,PRURICED CREME T 100ML,0,14,11.00,15,5,1.39,t,f,GROSSISTA_netto
938076369,ALTACOL 20CPS,0,391,17.56,5,5,1.39,t,f,HELD_basket
