sku,nome,click7,pos,stock,domanda_glob,vend_rete_30g,rete_90g,categoria_traffico
984599744,ALTRAPELLE MEDICAL ONICO SOLUZ,2,1,3,0.00,1.00,si,DOMANDA_VIVA
020702080,MAALOX PLUS*30CPR MAST,2,10,22,11.00,5.00,si,DOMANDA_VIVA
012745081,TACHIPIRINA*BB OS GTT 30ML 10%,2,4,47,4.00,4.00,si,DOMANDA_VIVA
979418821,BILIARIS LIQUIDO ANALC 200ML,2,6,0,0.00,0,si,MORTO_vero
987309679,PEGBIOMA 30BUST,2,5,21,0.00,5.00,si,DOMANDA_VIVA
975083041,GIBAUD SPORT BRACCIALE 3,2,11,0,0.00,0,no,MORTO_vero
980917165,KEYLIFE DETOX UOMO,2,1,6,0.00,0,si,GIA_POSIZIONATO_top5
881116343,ARNICA OTI COMPOSTO 20F FIS,2,8,0,0.00,0,no,MORTO_vero
931580575,GSE EYE DROPS CLICK GTT 10PIP,2,8,6,0.00,4.00,si,DOMANDA_VIVA
950221818,KUKIDENT PLUS MORSO INSUPERAB,2,9,96,12.00,6.00,si,DOMANDA_VIVA
974161857,GIBAUD ORTHO LOMBOGIB WORK 4,2,1,3,0.00,0,no,GIA_POSIZIONATO_top5
984412229,DOLOMIA MU MAT OCCHI 58 CARBO,2,4,3,0.00,0,si,GIA_POSIZIONATO_top5
900288299,"CER ROC LEUKOPOR 2,50X920CM",2,7,0,0.00,0,si,MORTO_vero
987386099,ANTHELIOS LATTE UVMUNE BB250ML,2,99,17,7.00,6.00,si,DOMANDA_VIVA
973499852,OLIO DEL RE SPRAY NASALE 30ML,2,9,0,0.00,1.00,si,DOMANDA_VIVA
943294746,TENDISULFUR RUN 14BUST,2,13,0,0.00,0,si,MORTO_vero
986013201,GIBAUD ORTHO LOMBOGIB TECH 3,2,10,4,0.00,0,si,MAGAZZINO_domanda90g
901607008,OLIGOMIR EPID CARAM SFUSE 3KG,2,5,0,0.00,0,no,GIA_POSIZIONATO_top5
984361319,PPM COLLAGEN+ 30BUST,2,4,0,0.00,16.00,si,DOMANDA_VIVA
975816315,COLPHARMA MAGNETO CARE HOME,2,11,0,0.00,0,si,MORTO_vero
987221456,CUMAVIS CREMA 100ML,2,6,0,0.00,0,si,MORTO_vero
978436739,GICAR CREMA 50ML,2,8,0,0.00,0,si,MORTO_vero
971667264,CH LATTE SOLARE SPRAY SPF30,2,99,0,0.00,0,no,MORTO_vero
934869658,SELIMA 30CPR,2,6,0,0.00,3.00,si,DOMANDA_VIVA
986013225,GIBAUD ORTHO LOMBOGIB TECH 4,2,9,3,0.00,0,si,MAGAZZINO_domanda90g
042922017,NEXIUM CONTROL*7CPR GASTR 20MG,2,1,33,0.00,0,si,GIA_POSIZIONATO_top5
