tenant,sku,nome,click7g,spesa7,spesa_gg,vend_ten_7g,rete7,rete30,pos,stock,marg_eur,categoria
Farmacia Procaccini,944775547,PROSTAPET CANE GEL 60BUST,4,1.3,0.19,0,no,si,6,0,4.75,no-vend-7g
Farmacia Procaccini,990377400,FORTEND MAX 20BUST,4,1.3,0.19,0,si,si,6,0,4.75,vende-rete
Farmacia Procaccini,980812539,PASTA HOFFMANN SELLA NAT 1KG,4,1.3,0.19,0,no,no,1,0,4.10,MORTO
Farmacia Procaccini,952113975,BUTIRETARD NMX 20CPR,4,1.3,0.19,0,si,si,2,3,6.68,vende-rete
Farmacia Procaccini,937030892,NOVA PROST 30CPS SOFTGEL,4,1.3,0.19,0,si,si,99,0,1.57,vende-rete
Farmacia Procaccini,951059031,VIDERMINA DELIGYN 500ML NF SP,3,1.0,0.14,0,no,si,1,22,1.54,no-vend-7g
Farmacia Procaccini,951387873,NORMAST 600MG MICROGR 30BUST,3,1.0,0.14,0,si,si,23,0,3.28,vende-rete
Farmacia Procaccini,979095484,NUXE HP FLORALE 50ML OLIO SECC,3,1.0,0.14,0,no,no,13,11,1.90,MORTO
Farmacia Procaccini,950127555,PEPTI BIOTIC REFILL 50ML,3,1.0,0.14,0,no,no,99,6,3.99,MORTO
Farmacia Procaccini,931382764,"LEVORAG EMULGEL 20TUB 3,5ML",3,1.0,0.14,0,no,si,24,0,7.53,no-vend-7g
Farmacia Procaccini,901474751,COVERMARK LEG MAGIC 4 50ML,3,1.0,0.14,0,no,si,99,0,3.71,no-vend-7g
Farmacia Procaccini,935590974,POLIDENT LUNGA TENUTA 70G,3,1.0,0.14,0,si,si,6,34,1.07,vende-rete
Farmacia Procaccini,908620646,"SAUGELLA GEL INTIMO PH5,5 30ML",3,1.0,0.14,0,no,no,1,3,1.40,MORTO
Farmacia Procaccini,990076933,GLUTAVIX 20STICK PACK,3,1.0,0.14,0,no,no,11,0,3.73,MORTO
Farmacia Procaccini,980122206,CORSETTO SEMIR ASPEN LUMB L,3,1.0,0.14,0,no,si,1,0,31.52,no-vend-7g
Farmacia Procaccini,935669489,VIDERMINA PREBIOTIC OVULI 10PZ,3,1.0,0.14,0,no,si,3,3,6.00,no-vend-7g
Farmacia Procaccini,951233651,SANOTINT SHAMPOO COLOR CARE,3,1.0,0.14,0,no,no,1,0,1.69,MORTO
Farmacia Procaccini,907280313,DEODORANTE 7 GIORNI CREMA 30ML,3,1.0,0.14,0,si,si,9,6,2.21,vende-rete
Farmacia Procaccini,978545299,ANGSTROM LATTE SPRAY 50+,3,1.0,0.14,0,no,si,10,4,2.09,no-vend-7g
Farmacia Procaccini,972529984,NATUR-SER PLUS 60CPS VEGETALI,3,1.0,0.14,0,no,no,1,0,4.04,MORTO
Farmacia Procaccini,945140150,EUPH COLORPRO XD 707 BIOND,3,1.0,0.14,0,no,si,2,2,1.19,no-vend-7g
Farmacia Procaccini,970175598,SERBLEND 60CPR,3,1.0,0.14,0,no,no,4,0,4.14,MORTO
Farmacia Procaccini,984789610,BIOLIFE IMMUNOPET 60CPS,3,1.0,0.14,0,no,si,1,0,7.62,no-vend-7g
Farmacia Procaccini,950945461,DEFENCE ANAGENIX K INT AL60CPS,3,1.0,0.14,0,no,si,5,2,3.71,no-vend-7g
Farmacia Procaccini,935543470,PEDIAPAX POLVERE 400G,3,1.0,0.14,0,si,si,4,0,2.24,vende-rete
Farmacia Procaccini,989893209,NUXE SUN OLIO SOL DOR50 150ML,3,1.0,0.14,0,no,no,4,9,3.26,MORTO
Farmacia Procaccini,945102073,DOCCIA GEL BERGAMOTTO PATCHOUL,3,1.0,0.14,0,no,si,1,5,1.11,no-vend-7g
Farmacia Procaccini,939025995,SPIRIAL EXTREME 20ML,3,1.0,0.14,0,no,si,9,3,1.93,no-vend-7g
Farmacia Procaccini,934027499,KRILL OMEGA PET RECOVERY120PRL,3,1.0,0.14,0,si,si,8,0,3.73,vende-rete
Farmacia Procaccini,931525113,RILASTIL LIPOREDUCER CREMA 200,3,1.0,0.14,0,no,si,1,0,4.29,no-vend-7g
Farmacia Procaccini,931375671,UOMO PROFUMO 100ML,3,1.0,0.14,0,no,si,8,3,12.97,no-vend-7g
Farmacia Procaccini,944779560,EUPH CREMA CORPO IDRAT 250ML,3,1.0,0.14,0,no,si,1,1,1.68,no-vend-7g
Farmacia Procaccini,970370401,ENTEROMICRO COMPLEX 32CPR,3,1.0,0.14,0,si,si,5,0,2.82,vende-rete
Farmacia Procaccini,980638757,GINEPRO NERO BAGNOSCH ECORICAR,3,1.0,0.14,0,no,no,13,4,4.71,MORTO
Farmacia Procaccini,982893265,EXTRA DELICATO SH DERMO2X400ML,3,1.0,0.14,0,no,si,2,26,2.88,no-vend-7g
