sku,nome,click7,spesa7,qty7,fatturato7,margine7,inc_fatt_pct,inc_marg_pct,pareto,pos
950915468,FIDEK 40CPR 1G DRN,2,0.66,6.00,136.24,35.04,0,2,PARETO,2
951064524,CERAVE SKIN RENEWING SIERO VIT,2,0.66,1.00,19.30,3.81,3,17,"",4
951064548,CERAVE SKIN RENEWING CR VISO,2,0.66,1.00,18.71,3.22,4,20,"",2
942210170,PICNOVEN DREN 100CPR,2,0.66,1.00,28.99,3.61,2,18,PARETO,3
951372489,DULCOSOFT GO 20BUST 20ML,2,0.66,3.00,32.20,6.18,2,11,"",6
950127542,PEPTI BIOTIC RECHARGEABLE 50ML,2,0.66,1.00,29.72,4.94,2,13,"",4
951507779,POLASE PLUS CARNITINA PRO24BUS,2,0.66,1.00,12.00,2.84,5,23,"",13
951552506,ZREEN MAGNESIO L-TREONATO90CPS,2,0.66,2.00,69.84,11.02,1,6,PARETO,7
938559578,OPC MASQUELIER ANTHOGENOL90CPS,2,0.66,1.00,42.32,8.18,2,8,"",1
938146901,VITAMINA D3 5000 UI 60CPS,2,0.66,1.00,27.23,3.81,2,17,PARETO,1
973179120,BOLO VIA PASTA GATTI 50G,2,0.66,1.00,8.98,1.71,7,39,"",1
931137273,DECONPROCT 10SUPP,2,0.66,1.00,13.88,1.84,5,36,"",4
975049317,AUSILIUM BAU 300G C/MISURINO,2,0.66,2.00,79.84,15.50,1,4,PARETO,7
975792755,IPERVEN 30CPS,2,0.66,2.00,37.72,5.86,2,11,"",4
930285008,ONLIGOL MACROGOL 4000 400G,2,0.66,1.00,13.56,2.60,5,25,PARETO,15
926646011,OPI NL T65 PUT IN NEUTRAL,2,0.66,2.00,19.38,8.82,3,7,"",1
925606840,WELLION LUNA CHOLES STRIPS10PZ,2,0.66,1.00,16.83,3.63,4,18,PARETO,1
990408130,MIAMO 2026 COF DETERS LENITIVO,2,0.66,1.00,19.19,5.99,3,11,"",4
980926620,ANTHELIOS LATTE SOL 30+ PAPER,2,0.66,1.00,13.83,-0.79,5,-84,PARETO,32
981910375,ENDOPLUS PRO 30CPR,2,0.66,3.00,76.83,21.12,1,3,PARETO,1
981964950,RILASTIL SUN PPT 50+ DORE' NF,2,0.66,1.00,14.22,2.84,5,23,"",6
982604391,URYVET CAT PASTA EVO 15ML,2,0.66,4.00,46.08,8.96,1,7,PARETO,2
984237091,ARBOGRAL 30CPR,2,0.66,9.00,219.23,49.32,0,1,PARETO,2
984623090,TECNIWORK MASCHERA PIEDI RIGEN,2,0.66,1.00,5.72,1.15,12,57,"",8
986001360,SENSIBIO MICELLAR CLEANS 150ML,2,0.66,1.00,11.47,2.37,6,28,"",1
986474486,SOFFISOF AIR DRY PANTS MAXI M,2,0.66,10.00,73.90,14.30,1,5,PARETO,2
987540299,XYLIMELTS 40PAST NEUTRO,2,0.66,1.00,14.90,2.36,4,28,"",8
987540818,PROGLAN 30BOCCONCINI,2,0.66,1.00,17.91,2.55,4,26,PARETO,5
042822027,"FROBEN GOLA*NEBUL 15ML 0,25%",2,0.66,1.00,5.33,0.82,12,80,PARETO,13
987838974,LIBENAR IGIENE NAS ISOTON 60FL,2,0.66,3.00,17.19,4.48,4,15,PARETO,17
042154029,LASONIL ANTIDOLORE*GEL120G 10%,2,0.66,3.00,18.56,2.72,4,24,PARETO,3
987844204,BIOTRANSIT 30STICK 15ML,2,0.66,1.00,26.01,3.82,3,17,PARETO,1
987867797,ZREEN VITAMINA D3 P 5000 20ML,2,0.66,1.00,29.64,4.67,2,14,"",3
988130682,AZETA VIS 60CPR DIVISIBILI,2,0.66,1.00,36.33,6.52,2,10,PARETO,1
988654671,NUTILIS CLEAR 175G,2,0.66,5.00,79.45,13.35,1,5,PARETO,4
025561073,SOFARGEN*CREMA 120G 1%,2,0.66,2.00,32.86,5.95,2,11,PARETO,26
990000010,CERVIX 30CPS GASTRORESISTENTI,2,0.66,3.00,75.99,12.06,1,5,PARETO,1
945136467,PEROGNIDOL FORTE 15ML,2,0.66,1.00,22.20,2.91,3,23,PARETO,11
907106177,MIRTILLO FORTE ES 30CPS,1,0.33,1.00,10.10,1.50,3,22,"",3
971980457,NUXE HP ORO 100ML OLIO SECCO,1,0.33,1.00,27.49,6.51,1,5,PARETO,16
904689700,RIGENAMED PLUS RIGEN/RISTR15ML,1,0.33,2.00,24.04,0.00,1,,"",99
983191432,AUTAN DEFENSE LONG PROT 100ML,1,0.33,1.00,6.84,1.36,5,24,"",5
971169836,CONNETTIVINABIO PLUS GARZA10PZ,1,0.33,2.00,19.78,2.85,2,12,PARETO,4
933874137,DELIFAB INTEGRA 20CPR,1,0.33,3.00,48.57,8.49,1,4,PARETO,2
983376979,DANACOL PLUS+ 30STICKGEL,1,0.33,2.00,24.89,4.28,1,8,PARETO,12
952126124,ULTRA PEP BRUCIAGRASSI FT NEW,1,0.33,5.00,121.75,19.10,0,2,PARETO,3
983702313,ZALTON DOL 15CPS,1,0.33,4.00,111.84,17.84,0,2,PARETO,2
989669775,DEFENCE SUN 30 LATTE FLUI200ML,1,0.33,1.00,14.34,3.40,2,10,PARETO,19
952100295,GASTROTUSS 25STICK 20ML SCIR,1,0.33,3.00,51.90,7.41,1,4,PARETO,12
935382782,BLEFARETTE SALV OCULARI 30PZ,1,0.33,1.00,16.72,3.90,2,8,PARETO,24
942059801,RELAXIGEN PET CANE 20CPR,1,0.33,1.00,17.13,2.59,2,13,PARETO,2
935860472,DIMANN FLOGO 15CPR,1,0.33,3.00,56.94,8.79,1,4,PARETO,2
900978038,IMMUNACE 60TAV,1,0.33,3.00,83.10,15.66,0,2,PARETO,2
984789646,BIOLIFE IMMUNOPET STRONG 60CPS,1,0.33,1.00,76.87,9.16,0,4,PARETO,1
900586165,SAUGELLA POLIGYN 50+ 250ML,1,0.33,1.00,6.29,1.05,5,31,"",2
984881413,AVENE RISTRUTTURANTE DOPO400ML,1,0.33,3.00,38.88,9.20,1,4,PARETO,16
985002029,ZYLKENE PLUS CANI 15-60KG,1,0.33,2.00,112.44,29.04,0,1,PARETO,1
985592260,RILASTIL SUN SYS BB LATTE 50+,1,0.33,1.00,14.29,1.86,2,18,"",11
002955060,XAMAMINA MAL DI VIAG*6CPS 50MG,1,0.33,3.00,14.25,2.27,2,15,PARETO,2
985910076,ERBABASIC 60CPR,1,0.33,3.00,70.92,10.95,0,3,PARETO,2
989814443,CERAVE REFILL DETERGENTE IDR,1,0.33,1.00,9.89,1.74,3,19,PARETO,5
986075113,BIOARGININA ZERO 20FL,1,0.33,5.00,80.70,12.18,0,3,PARETO,5
938404795,MICROFLEB L 10F 10ML,1,0.33,1.00,13.12,2.15,3,15,PARETO,1
900360254,IDRASTIN CREMA RIGENERANTE50ML,1,0.33,1.00,21.65,3.92,2,8,PARETO,2
900095579,BENEX GEL FREDDO 200ML,1,0.33,1.00,14.18,1.61,2,20,PARETO,9
986464372,PAMPERS PROG MUT QUADRI MX 76P,1,0.33,3.00,97.47,16.98,0,2,PARETO,2
950841662,WELEDA GEL FRESCO GAMBE LEGGER,1,0.33,1.00,12.98,2.41,3,14,"",4
938748504,EPTA DS SH SEBO SQUAMOSI 150ML,1,0.33,3.00,66.30,10.56,0,3,PARETO,3
986904441,GIBAUD FASCIA POSTOP CLA H24 4,1,0.33,1.00,33.41,5.68,1,6,"",3
938878218,THE NILO TAGLIO FILTRO 1KG,1,0.33,2.00,40.30,9.66,1,3,PARETO,6
987187186,RIGYDO NATURA 70CPR,1,0.33,1.00,82.44,12.64,0,3,PARETO,1
987269762,TABIPRES 30CPR,1,0.33,1.00,14.69,1.94,2,17,"",13
939143703,LACTOFLORENE PLUS 18FL 180ML,1,0.33,1.00,8.41,1.21,4,27,PARETO,9
951453822,GOOVI SPLASH BB MASCHERA DET,1,0.33,1.00,12.14,2.25,3,15,"",3
951366778,DICOFLOR GOCCE 6ML,1,0.33,1.00,13.35,4.61,2,7,"",13
990759692,EUPHIDRA LIP ART DUO ROSA CIPR,1,0.33,2.00,16.18,4.18,2,8,"",99
987437225,POLASE LIMONE 24BUST PROMO,1,0.33,3.00,27.63,3.41,1,10,PARETO,99
987437237,POLASE LIMONE 12BUST PROMO,1,0.33,2.00,12.24,0.19,3,177,"",7
989983301,CERAVE LOZIONE IDRATANTE REF,1,0.33,2.00,20.92,3.70,2,9,"",5
943384899,COQUTEN 50PRL,1,0.33,2.00,122.98,20.86,0,2,PARETO,1
102235037,STIMULFOS 25 Cpr,1,0.33,1.00,15.67,2.93,2,11,"",3
942644321,LACTOFLORENE CIST 20BUST,1,0.33,2.00,23.58,7.52,1,4,PARETO,11
949645319,MASSIGEN PRONTO RECUP PLUS2025,1,0.33,1.00,10.98,1.43,3,23,PARETO,19
950071480,FLEVATIN DUO 60CPR,1,0.33,3.00,138.64,36.66,0,1,PARETO,5
949703831,FISIOCREM CREAM ACTIVE 250ML,1,0.33,3.00,56.34,0.00,1,,PARETO,3
951160314,GOOVI SPRAY SOLARE CAP 150ML,1,0.33,1.00,15.25,2.68,2,12,"",7
949737199,RIBES PET SYMBIO PASTA 60G,1,0.33,8.00,147.44,21.60,0,2,PARETO,2
988027278,PARODONTAX BIPACK MENTA 2X75ML,1,0.33,1.00,4.25,0.74,8,44,"",9
988066231,BIOSCALIN PRO DENSITY BOOST16F,1,0.33,1.00,56.96,9.53,1,3,PARETO,6
950404246,ENERVIT PP ELECTROLYTES 16BUST,1,0.33,1.00,11.17,2.71,3,12,"",16
988144097,AFTERBITE X TECH 14ML,1,0.33,1.00,5.58,1.55,6,21,"",1
042028050,OKITASK*OS GRAT 30BUST 40MG,1,0.33,4.00,35.40,8.38,1,4,PARETO,19
950017943,TORELLO PERFORM CAMP28BUST 2PZ,1,0.33,1.00,55.32,6.74,1,5,PARETO,3
988658581,MIAMO ICONS GF5 AOX 10ML,1,0.33,1.00,27.99,8.74,1,4,"",8
988807780,VELABRAIN 7FL,1,0.33,6.00,124.80,21.78,0,2,PARETO,4
990284820,TRICOMAGIS 20BUST,1,0.33,1.00,20.18,3.65,2,9,PARETO,2
980635142,KELUAL DS SHAMPOO FORFORA SEV,1,0.33,1.00,13.59,1.19,2,28,PARETO,39
978868091,CONNETTIVINASTICK LABBRA 3G,1,0.33,1.00,5.13,2.51,6,13,PARETO,11
036193023,ESSAVEN*GEL 80G 10MG/G+8MG/G,1,0.33,1.00,8.70,1.12,4,29,PARETO,6
990540460,ARKOCAPSULE LION'S MANE 60CPS,1,0.33,1.00,15.50,4.05,2,8,"",3
035618077,MOMENTACT*OS SOSP 8BUST 400MG,1,0.33,2.00,16.72,3.80,2,9,PARETO,28
