minsan;nome;categoria;prezzo;domanda_rete_30g;best_mercato
026043063;LOMEXIN*SPRAY CUT 30ML 20MG/G;Dermatologici;10.40;6.00;10.51
037375021;LIOTONTRAUMA*GEL 40G 2%+5%;Apparato muscolo scheletrico;6.71;6.00;7.21
004398018;OTALGAN*GTT OTO FL 6G;Orecchio;6.47;6.00;6.73
936061771;EUPHIDRA AMIDO POLVERE 200G;Corpo;4.73;6.00;5.11
042461032;PARACETAMOLO DOC*30CPR 500MG;Febbre,Analgesici;3.38;6.00;3.52
982990956;AMUCHINA SPRAY AMB/OGG/TE100ML;Pulizia e igiene;3.16;6.00;3.38
926522158;CER PIC CLASSIC MIX 20PZ;Cerotti;1.84;6.00;2.00
926522145;CER PIC CLASSIC 25X72 10PZ;Cerotti;1.39;6.00;1.46
985657586;SPAZZOLINO TOT MED SOFARMAPIU';;0.97;6.00;1.18
025228053;UBIMAIOR*14CPS 50MG;Circolazione;26.85;5.00;26.81
934408725;BIOTHYMUS AC ACT D LOZ 100ML;Trattamenti;23.31;5.00;24.99
903773291;IDIPROST 15CPS;Apparato uro-genitale;16.83;5.00;18.46
985723675;PEDIAVIT GOCCE 15ML;Preparati;16.02;5.00;18.07
924954326;SOLVIX 20CPR;Circolazione;15.92;5.00;16.73
027032059;NAAXIA*COLL 10ML 4,9%;Preparati,Sistemici,Topici;15.45;5.00;17.44
931064291;STERILFER GOCCE 15ML;Preparati;13.30;5.00;14.39
926079613;ALIVEN PLUS 20CPR;Circolazione;12.75;5.00;14.82
908019553;AFTIR GEL ANTIPARASSITARIO 40G;Preparati;8.76;5.00;9.75
033708013;VERECOLENE CM*20CPR RIV 5MG;Stipsi e transito intestinale;7.73;5.00;8.98
971357013;OTTOCID PLUS 300ML;Insetticidi e disinfestanti;6.29;5.00;6.66
986864510;NUTILIS AQUA GEL ARA 4PZ;Metabolismo;4.55;5.00;4.35
908313620;FORHANS SP DENTIF ECONOMY 100M;Dentifrici;4.13;5.00;4.84
934880966;MASSIGEN VITAMINA C 1G EFFERV;Vitamine;3.68;5.00;4.95
912608787;BENDA PIC RETE EL 4 GAMB/GINOC;Bende e garze;3.62;5.00;4.22
943175529;ROUGJ CIGLIA FINTE MASCARA EVA;Trucco;3.24;5.00;3.49
944135096;SODIO BICARBONATO ZETA 200G;Digestivi;1.88;5.00;1.93
908556564;MEDINORM TAPPO CATET STER;Cateteri e altri accessori;0.28;5.00;0.35
029824048;ACQUA PI GS*1F 5ML;Solventi diversi da soluzioni fisiologiche;0.19;5.00;4.70
979092501;NURVAST ADVANCE 30CPR GASTROR;Controllo del peso;27.61;4.00;31.59
982471409;URIXANA PRO 30BUST;Apparato uro-genitale;23.56;4.00;23.57
984026233;LATTOFERRINA BABY GOCCE 16ML;Preparati;22.15;4.00;24.85
975446360;STONEX ULTRA 20STICK PACK;Apparato uro-genitale;19.78;4.00;21.99
981054380;ESOFIX 20STICK MONODOSE 15ML;Antiacidi;18.82;4.00;19.92
979683719;EMEFER 30CPR;Minerali;17.69;4.00;19.06
981977539;THERAIDRA MICROBIOMA SPR 200ML;Accessori;17.53;4.00;17.62
976403877;PISOLINO TRIPTO 50ML;Preparati;16.42;4.00;18.58
931137273;DECONPROCT 10SUPP;Emorroidi;15.26;4.00;16.31
980504308;STERILVIT POLIVIT GOCCE 5ML;Preparati;15.03;4.00;16.17
