sku,nome,click7,spesa7,qty7,rev7,marg7,inc_fatt_pct,categoria,is_civetta,pos,stock
931577276,AVENE SOL CR SOL SCHERMO 50+,4,1.32,0,0.00,0.00,,0-vendite,f,10,1
982471839,MULTICENTRUM DIFESE IMM 28BUST,4,1.32,0,0.00,0.00,,0-vendite,t,1,3
970778522,ANAPHASE+ SHAMPOO 200ML DUCRAY,4,1.32,0,0.00,0.00,,0-vendite,t,1,5
983197120,TDV TRATTAMENTO CORPO 400ML 22,4,1.32,0,0.00,0.00,,0-vendite,t,11,3
989367154,VITAMINDERMINA POLVERE 100G,4,1.32,0,0.00,0.00,,0-vendite,t,1,1
950228751,AGEX DEFENCE SPOT PHARCOS 50ML,4,1.32,0,0.00,0.00,,0-vendite,t,1,0
944282324,SAUGELLA INTIMO&CORPO 500ML,4,1.32,0,0.00,0.00,,0-vendite,t,3,4
909089031,ACQUA SIRMIONE MIN NAT 6F 15ML,4,1.32,0,0.00,0.00,,0-vendite,f,20,37
943322685,CONNECTASYL 60CPR,4,1.32,0,0.00,0.00,,0-vendite,t,4,0
010386098,HIRUDOID 40000UI*CREMA 100G,4,1.32,0,0.00,0.00,,0-vendite,t,5,2
951032871,SYNAPSINE L 1000 10FL,3,0.99,0,0.00,0.00,,0-vendite,t,4,0
934027499,KRILL OMEGA PET RECOVERY120PRL,3,0.99,0,0.00,0.00,,0-vendite,t,1,0
931525113,RILASTIL LIPOREDUCER CREMA 200,3,0.99,0,0.00,0.00,,0-vendite,t,1,0
984789610,BIOLIFE IMMUNOPET 60CPS,3,0.99,0,0.00,0.00,,0-vendite,t,1,0
981954694,RILASTIL SUN SYS DOPOSOLE I/R,3,0.99,0,0.00,0.00,,0-vendite,t,3,9
951618154,SYNUCLID 30BUST,3,0.99,0,0.00,0.00,,0-vendite,f,11,0
907280313,DEODORANTE 7 GIORNI CREMA 30ML,3,0.99,0,0.00,0.00,,0-vendite,f,9,6
975428222,BARIEDERM CICA-CREMA SPF50+,3,0.99,0,0.00,0.00,,0-vendite,t,1,2
903570063,SERENITY PANN SAG CLAS EX 30PZ,3,0.99,0,0.00,0.00,,0-vendite,t,1,0
906269535,MEDI 9007 INFILA CALZE,3,0.99,0,0.00,0.00,,0-vendite,t,1,0
945140150,EUPH COLORPRO XD 707 BIOND,3,0.99,0,0.00,0.00,,0-vendite,t,2,2
951135781,MAGNESIO BISGLICINATO 180PAST,3,0.99,0,0.00,0.00,,0-vendite,t,5,0
945102073,DOCCIA GEL BERGAMOTTO PATCHOUL,3,0.99,0,0.00,0.00,,0-vendite,t,1,5
